Obsdate		flux	flux_ler	BKG	BAND
 53131.871      -3.69      4.05     16.81  1 
 53134.580      -1.74      4.30     17.02  2 
 53137.711      -0.35      3.63     16.96  1 
 53140.551       4.95      4.23     16.89  2 
 53143.486       1.42      3.57     16.96  1 
 53147.441       2.64      5.71     16.68  2 
 53150.443       1.50      4.36     17.27  1 
 53154.644      -1.48      3.48     16.59  1 
 53157.749       0.52      4.11     16.40  2 
 53189.513       0.38      3.95     16.99  2 
 53193.236      -2.53      3.33     16.65  1 
 53197.255       5.08      5.59     16.88  2 
 53200.191       4.32      3.51     16.73  1 
 53204.542      -5.16      4.04     16.71  2 
 53207.543       2.18      3.62     16.32  1 
 53214.568      -7.55      4.30     17.24  1 
 53218.656      -2.28      4.51     16.51  2 
 53222.640      -0.39      3.49     17.12  1 
 53225.742       1.92      4.61     17.08  2 
 53229.594       5.50      4.73     17.09  1 
 53233.352      -2.78      4.29     16.53  2 
 53236.484      -5.72      4.77     17.48  1 
 53239.453      14.48      9.58     16.99  2 
 53243.372      -5.01      2.89     16.73  1 
 53247.324      -5.22      4.30     16.91  2 
 53250.260      -3.76      3.35     16.68  1 
 53254.345      -5.37      5.36     17.14  2 
 53257.348      -1.71      3.38     16.67  1 
 53260.518      -4.19      4.38     16.72  2 
 53264.437      -0.75      3.37     16.80  1 
 53267.541       4.01      4.48     16.30  2 
 53270.737      -0.48      7.79     17.54  1 
 53274.429      -2.25      4.37     17.12  2 
 53277.560      -3.71      3.37     16.58  1 
 53281.317       4.71      4.37     16.73  2 
 53285.432      -3.05      4.73     17.18  1 
 53289.122       3.89      5.89     17.87  2 
 53292.188       2.94      3.68     16.75  1 
 53295.157       0.69      5.57     17.03  2 
 53298.157      -2.26      4.46     16.96  1 
 53304.126       1.29      3.29     16.51  1 
 53307.752      -4.08      4.21     16.92  2 
 53413.001      -2.84      3.58     16.25  1 
 53417.088      -1.13      5.50     16.41  2 
 53420.020      -2.59      3.43     16.78  1 
 53423.120       0.72      4.53     16.72  2 
 53426.970      -0.01      3.52     16.90  1 
 53430.922      -0.55      4.18     17.09  2 
 53433.853      -4.35      3.47     16.94  1 
 53437.805       5.22      4.22     16.84  2 
 53445.671       8.20      5.86     16.38  2 
 53448.538       2.59      4.86     16.68  1 
 53452.749      -4.58      4.14     17.43  2 
 53455.682      -3.60      3.32     16.73  1 
 53459.438       2.30      4.23     17.36  2 
 53462.831      -3.10      7.63     17.42  1 
 53469.258      -6.69      3.51     16.86  1 
 53472.032       2.61      4.39     16.87  2 
 53475.946       2.79      3.47     16.93  1 
 53479.832       1.80      4.20     16.48  2 
 53482.960      -0.45      3.62     16.85  1 
 53486.911      -2.24      4.04     16.92  2 
 53489.777      -8.84      4.89     16.91  1 
 53493.530       3.73      5.42     16.77  2 
 53497.445      -0.25      3.42     16.93  1 
 53501.394      -2.31      5.73     16.88  2 
 53505.573      -2.85      4.45     20.94  1 
